0.0000016	0.00000001	3.08	0.08
0.0000028	0.00000001	4.8	    0.04
0.0000048	0.00000001	7.04	0.04
0.0000068	0.00000001	8.44	0.02
0.0000108	0.00000001	9.92	0.04
0.0000148	0.00000001	10.4	0.01
0.0000208	0.00000001	10.6	0.01
0.0000288	0.00000001	10.4	0.01
0.0000388	0.00000001	9.98	0.02
0.0000508	0.00000001	9.44	0.04
0.0000828	0.00000001	8.08	0.04
0.000114	0.00000001	7	    0.04
0.000154	0.00000001	5.76	0.04
0.000186	0.00000001	4.96	0.04
0.000256	0.00000001	3.56	0.04
0.000336	0.00000001	2.48	0.04
0.000456	0.00000001	1.4	    0.04
